id,name,id_provinsi
stabat,Stabat,sumatera-utara
lubuk-pakam,"Lubuk Pakam",sumatera-utara
kab-toba-samosir,"Kab Toba Samosir",sumatera-utara
padang-lawas-utara,"Padang Lawas Utara",sumatera-utara
kabanjahe,Kabanjahe,sumatera-utara
labuhan-batu-utara,"Labuhan Batu Utara",sumatera-utara
labuhan-batu,"Labuhan Batu",sumatera-utara
teluk-dalam,"Teluk Dalam",sumatera-utara
sipirok,Sipirok,sumatera-utara
medan,Medan,sumatera-utara
sibolga,Sibolga,sumatera-utara
kab-mandailing-natal,"Kab Mandailing Natal",sumatera-utara
pakpak-bharat,"Pakpak Bharat",sumatera-utara
kab-deli-serdang,"Kab Deli Serdang",sumatera-utara
pematang-siantar,"Pematang Siantar",sumatera-utara
kab-humbang-hasundutan,"Kab Humbang Hasundutan",sumatera-utara
kab-nias,"Kab Nias",sumatera-utara
gunungsitoli,Gunungsitoli,sumatera-utara
kota-binjai,"Kota Binjai",sumatera-utara
langkat,Langkat,sumatera-utara
gunung-tua,"Gunung Tua",sumatera-utara
balige,Balige,sumatera-utara
dolok-sanggul,"Dolok Sanggul",sumatera-utara
kab-batu-bara,"Kab Batu Bara",sumatera-utara
sidikalang,Sidikalang,sumatera-utara
binjai,Binjai,sumatera-utara
nias-barat,"Nias Barat",sumatera-utara
sei-rampah,"Sei Rampah",sumatera-utara
simalungun,Simalungun,sumatera-utara
kab-serdang-bedagai,"Kab Serdang Bedagai",sumatera-utara
tapanuli-selatan,"Tapanuli Selatan",sumatera-utara
kabasahan,Kab.asahan,sumatera-utara
kab-samosir,"Kab Samosir",sumatera-utara
kab-labuhan-batu,"Kab Labuhan Batu",sumatera-utara
sleman,Sleman,yogyakarta
kab-gunung-kidul,"Kab Gunung Kidul",yogyakarta
bantul,Bantul,yogyakarta
kab-sleman,"Kab Sleman",yogyakarta
wonosari,Wonosari,yogyakarta
wates,Wates,yogyakarta
kab-bantul,"Kab Bantul",yogyakarta
kab-kulon-progo,"Kab Kulon Progo",yogyakarta
yogyakarta,Yogyakarta,yogyakarta
